listing_id,platform,city,state,brand,model,variant,manufacturing_year,kilometers_driven,engine_capacity_cc,mileage_kmpl,transmission,fuel_type,number_of_owners,seller_type,warranty_status,insurance_validity,scraped_date,raw_price
PW_IND_13289,Quikr,Ahmedabad,Gujarat,Hero,Glamour,Disc,2018,85327,125.0,55.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Third-Party,2026-08-27,"₹ 22,300.00"
PW_IND_15569,BikeDekho,Mumbai,Maharashtra,Bajaj,Pulsar NS200,Dual Channel ABS,2016,113501,199.0,40.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Third-Party,2026-04-08,"₹ 28,400"
PW_IND_11674,OLX,Ahmedabad,Gujarat,TVS,Apache RTR 160,4V Special Edition,2021,39587,160.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-07-26,"71,400"
PW_IND_10843,OLX,Delhi-NCR,Delhi,Royal Enfield,Himalayan,Pine Green,2021,56674,411.0,32.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-03-17,"₹112,500"
PW_IND_18643,Bikes24,Ahmedabad,Gujarat,Honda,CB Shine,SP,2017,89532,125.0,58.0,Manual,Petrol,2nd Owner,Certified Dealer,1 Year Certified Warranty,Third-Party,2026-02-25,"₹ 34,800.00"
PW_IND_17345,Droom,Lucknow,Uttar Pradesh,Suzuki,Gixxer SF 150,Standard ABS,2020,68334,155.0,45.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Third-Party,2026-06-25,79400
PW_IND_13061,Quikr,Jaipur,Rajasthan,Bajaj,Pulsar 150,Twin Disc,2020,49639,149.0,48.0,Manual,Petrol,1st Owner,Individual,No Warranty,Expired,2026-07-11,48900
PW_IND_15693,BikeDekho,Jaipur,Rajasthan,TVS,Jupiter,ZX SmartXonnect,2014,82644,110.0,56.0,Automatic,Petrol,1st Owner,Individual,No Warranty,Expired,2026-03-04,"₹ 15,000.00"
PW_IND_10707,OLX,Pune,Maharashtra,KTM,RC 390,Factory Racing,2020,62479,,27.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-06-01,143300
PW_IND_19040,CarTrade,Pune,Maharashtra,Royal Enfield,Hunter 350,Metro Rebel,2019,61123,349.0,36.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,2026-04-25,"₹ 59,800"
PW_IND_14753,BikeDekho,Delhi-NCR,Delhi,Yamaha,R15 V4,M Edition,2016,78256,155.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-02-09,41900
PW_IND_17315,Droom,Jaipur,Rajasthan,Yamaha,R15 V4,M Edition,2013,95441,155.0,40.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,2026-01-16,"₹ 50,700.00"
PW_IND_13342,Quikr,Kolkata,West Bengal,Bajaj,Platina 100,ES Drum,2013,149024,102.0,72.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-05-12,"₹15,000"
PW_IND_10948,OLX,Chennai,Tamil Nadu,Suzuki,Gixxer SF 150,Standard ABS,2025,11814,155.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-01-20,"₹ 168,600.00"
PW_IND_12297,OLX,Delhi-NCR,Delhi,Hero,Splendor Plus,Self Start i3S,2018,104294,97.0,,Manual,Petrol,2nd Owner,Individual,No Warranty,Expired,2026-05-07,15500
PW_IND_15101,BikeDekho,Lucknow,Uttar Pradesh,Hero,Xpulse 200,4V Rally,2023,29474,200.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-04-15,"₹ 101,700.00"
PW_IND_18901,Bikes24,Hyderabad,Telangana,Hero,Splendor Plus,Self Start i3S,2020,68843,97.0,65.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,2026-02-05,"₹ 55,800"
PW_IND_18988,Bikes24,Jaipur,Rajasthan,Suzuki,Gixxer 250,Dual ABS,2021,32671,249.0,35.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Third-Party,2026-08-02,"₹ 128,500.00"
PW_IND_11022,OLX,Bengaluru,Karnataka,Bajaj,Pulsar 125,Neon,2015,96300,125.0,52.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-06-13,"₹ 18,800.00"
PW_IND_18904,Bikes24,Lucknow,Uttar Pradesh,KTM,Duke 390,Gen-3 Dark Galvano,2013,136989,373.0,28.0,Manual,Petrol,1st Owner,Certified Dealer,6 Months Warranty,Comprehensive,2026-03-16,67000
PW_IND_17468,Droom,Pune,Maharashtra,Yamaha,R15 V4,M Edition,2020,68441,155.0,40.0,Manual,Petrol,2nd Owner,Dealer,6 Months Warranty,Comprehensive,2026-02-22,"63,700"
PW_IND_13328,Quikr,Hyderabad,Telangana,Bajaj,Pulsar 125,Neon,2017,100358,125.0,52.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-04-22,"₹ 19,500.00"
PW_IND_12577,OLX,Chennai,Tamil Nadu,Yamaha,FZ-S FI,V4 Deluxe,2016,81003,149.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-03-02,"₹30,700"
PW_IND_18406,Bikes24,Ahmedabad,Gujarat,Suzuki,Gixxer 250,Dual ABS,2025,9385,249.0,35.0,Manual,Petrol,2nd Owner,Certified Dealer,6 Months Warranty,Comprehensive,2026-08-19,"₹ 198,600.00"
PW_IND_12484,OLX,Lucknow,Uttar Pradesh,Hero,Splendor Plus,Self Start i3S,2022,29928,97.0,65.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-02-21,"₹ 45,200"
PW_IND_12476,OLX,Ahmedabad,Gujarat,Royal Enfield,Bullet 350,Standard ES,2020,30299,346.0,38.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Comprehensive,2026-04-15,"84,800"
PW_IND_11015,OLX,Pune,Maharashtra,Honda,Unicorn,Standard,2018,70870,,50.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Expired,2026-06-19,"26,400"
PW_IND_14652,BikeDekho,Hyderabad,Telangana,TVS,Sport,ES,2015,144178,110.0,70.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Comprehensive,2026-05-17,15200
PW_DUP_20062,OLX,Lucknow,Uttar Pradesh,Suzuki,Access 125,Ride Connect,2015,114527,124.0,52.0,Automatic,Petrol,1st Owner,Dealer,1 Year Certified Warranty,Comprehensive,2026-08-15,"18,800"
PW_IND_10486,OLX,Jaipur,Rajasthan,KTM,RC 200,GP Edition,2018,350000,199.0,32.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-01-22,"₹65,400"
PW_IND_16854,BikeWale,Bengaluru,Karnataka,Royal Enfield,Classic 350,Dual Channel ABS,2020,33115,349.0,35.0,Manual,Petrol,1st Owner,Certified Dealer,No Warranty,Third-Party,2026-05-20,"₹ 165,600"
PW_IND_16435,BikeWale,Chennai,Tamil Nadu,TVS,Sport,ES,2020,56012,110.0,70.0,Manual,Petrol,2nd Owner,Individual,6 Months Warranty,Third-Party,2026-03-20,21500
PW_IND_17279,Droom,Lucknow,Uttar Pradesh,Hero,Xpulse 200,4V Rally,2022,28437,200.0,40.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Third-Party,2026-02-06,"115,400"
PW_IND_19602,CarTrade,Delhi-NCR,Delhi,Bajaj,Platina 100,ES Drum,2017,75610,102.0,72.0,Manual,Petrol,1st Owner,Individual,No Warranty,Expired,2026-05-08,"₹ 15,300"
PW_IND_15681,BikeDekho,Bengaluru,Karnataka,Honda,CB Shine,SP,2014,130616,125.0,58.0,Manual,Petrol,1st Owner,Individual,6 Months Warranty,Third-Party,2026-06-06,"15,000"
PW_IND_12958,OLX,Ahmedabad,Gujarat,Royal Enfield,Classic 350,Dual Channel ABS,2023,34931,349.0,35.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-01-07,"₹205,200"
PW_IND_14078,BikeDekho,Bengaluru,Karnataka,TVS,Raider 125,Split Seat,2019,62028,125.0,57.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Comprehensive,2026-04-04,"₹ 40,400"
PW_IND_12857,OLX,Jaipur,Rajasthan,Honda,CB Shine,SP,2016,73216,125.0,58.0,Manual,Petrol,3rd Owner,Individual,No Warranty,Comprehensive,2026-06-19,"₹ 15,000.00"
PW_IND_14258,BikeDekho,Jaipur,Rajasthan,Yamaha,FZ-S FI,V4 Deluxe,2014,123301,149.0,45.0,Manual,Petrol,1st Owner,Dealer,6 Months Warranty,Third-Party,2026-08-20,"20,400"
PW_IND_14105,BikeDekho,Ahmedabad,Gujarat,Yamaha,FZ-S FI,V4 Deluxe,2017,83907,149.0,45.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Comprehensive,2026-07-05,"26,300"
PW_IND_11838,OLX,Hyderabad,Telangana,TVS,Sport,ES,2022,39845,110.0,70.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-01-27,"₹43,000"
PW_IND_11818,OLX,Delhi-NCR,Delhi,TVS,Sport,ES,2016,99387,110.0,,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-03-23,"₹ 15,000"
PW_IND_12315,OLX,Hyderabad,Telangana,KTM,RC 390,Factory Racing,2020,43756,373.0,27.0,Manual,Petrol,1st Owner,Individual,No Warranty,Expired,2026-08-13,"₹ 163,300.00"
PW_IND_10047,OLX,Ahmedabad,Gujarat,Yamaha,MT-15,V2 MotoGP,2016,75104,155.0,44.0,Manual,Petrol,3rd Owner,Individual,No Warranty,Comprehensive,2026-08-18,"₹ 31,100.00"
PW_DUP_20216,OLX,Chennai,Tamil Nadu,Honda,Activa 6G,DLX,2018,85609,110.0,55.0,Automatic,Petrol,1st Owner,Dealer,No Warranty,Comprehensive,2026-08-15,"₹ 25,200"
PW_IND_13546,Quikr,Bengaluru,Karnataka,Bajaj,Pulsar 125,Neon,2014,111499,125.0,52.0,Manual,Petrol,4th Owner,Individual,No Warranty,Comprehensive,2026-04-26,15000
PW_IND_17259,Droom,Bengaluru,Karnataka,Suzuki,Gixxer 250,Dual ABS,2015,113698,249.0,35.0,Manual,Petrol,1st Owner,Dealer,1 Year Certified Warranty,Comprehensive,2026-07-10,"₹44,600"
PW_IND_12190,OLX,Kolkata,West Bengal,KTM,Duke 390,Gen-3 Dark Galvano,2022,29678,373.0,28.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Third-Party,2026-03-15,171600
PW_IND_10784,OLX,Ahmedabad,Gujarat,Royal Enfield,Hunter 350,Metro Rebel,2020,41017,349.0,36.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-01-21,81900
PW_IND_16703,BikeWale,Hyderabad,Telangana,Royal Enfield,Hunter 350,Metro Rebel,2015,60555,349.0,36.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Third-Party,2026-08-14,"₹ 34,100.00"
PW_IND_10443,OLX,Bengaluru,Karnataka,TVS,Raider 125,Split Seat,2015,128613,125.0,57.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,2026-05-14,15000
PW_IND_19457,CarTrade,Lucknow,Uttar Pradesh,Yamaha,Aerox 155,Version S,2020,57827,155.0,42.0,Automatic,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,2026-05-10,"56,100"
PW_IND_15800,BikeDekho,Bengaluru,Karnataka,Yamaha,MT-15,V2 MotoGP,2019,56241,155.0,44.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Third-Party,2026-02-11,"₹ 67,900.00"
PW_IND_14002,BikeDekho,Pune,Maharashtra,KTM,RC 390,Factory Racing,2018,99835,373.0,27.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,2026-07-01,"₹ 67,900.00"
PW_IND_11170,OLX,Kolkata,West Bengal,Hero,Glamour,Disc,2015,85342,125.0,55.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-05-24,"₹ 15,500.00"
PW_IND_19363,CarTrade,Hyderabad,Telangana,TVS,Raider 125,Split Seat,2015,117938,125.0,57.0,Manual,Petrol,1st Owner,Individual,No Warranty,Expired,2026-04-12,"₹16,500"
PW_IND_18168,Droom,Kolkata,West Bengal,Bajaj,Avenger Cruise 220,Standard,2016,100726,,38.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,2026-07-07,"₹50,200"
PW_IND_12084,OLX,Kolkata,West Bengal,Hero,Xpulse 200,4V Rally,2019,74007,200.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-03-18,"₹ 41,900"
PW_IND_15168,BikeDekho,Jaipur,Rajasthan,Yamaha,Aerox 155,Version S,2015,85324,155.0,42.0,Automatic,Petrol,1st Owner,Individual,6 Months Warranty,Comprehensive,2026-08-06,"₹ 27,700.00"
PW_IND_19913,CarTrade,Chennai,Tamil Nadu,TVS,Sport,ES,2022,45798,110.0,70.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-04-27,"31,200"
PW_IND_13838,Quikr,Delhi-NCR,Delhi,Hero,Xpulse 200,4V Rally,2021,34797,200.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-02-19,"71,900"
PW_IND_17142,Droom,Chennai,Tamil Nadu,Bajaj,Dominar 400,Touring Edition,2022,27901,373.0,30.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Third-Party,2026-06-18,"₹206,600"
PW_IND_15716,BikeDekho,Chennai,Tamil Nadu,Honda,Unicorn,Standard,2022,31751,160.0,50.0,Manual,Petrol,4th Owner,Certified Dealer,No Warranty,Comprehensive,2026-07-07,"₹ 57,100"
PW_IND_15735,BikeDekho,Hyderabad,Telangana,Yamaha,R15 V4,M Edition,2018,89638,155.0,40.0,Manual,Petrol,1st Owner,Individual,6 Months Warranty,Expired,2026-04-15,"₹60,100"
PW_IND_19501,CarTrade,Kolkata,West Bengal,Suzuki,Gixxer SF 150,Standard ABS,2020,35871,155.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-06-22,"₹70,300"
PW_IND_14284,BikeDekho,Hyderabad,Telangana,Honda,Hornet 2.0,ABS,2018,91444,184.0,42.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Comprehensive,2026-02-11,"40,100"
PW_IND_12521,OLX,Bengaluru,Karnataka,Royal Enfield,Classic 350,Dual Channel ABS,2017,74122,349.0,35.0,Manual,Petrol,3rd Owner,Individual,No Warranty,Comprehensive,2026-03-10,"₹ 49,900.00"
PW_IND_14887,BikeDekho,Bengaluru,Karnataka,Bajaj,Pulsar 125,Neon,2014,94754,125.0,52.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Third-Party,2026-02-27,"₹17,300"
PW_IND_16301,BikeWale,Lucknow,Uttar Pradesh,Hero,Passion Pro,Drum,2017,73387,113.0,60.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-01-07,"₹16,800"
PW_IND_15377,BikeDekho,Ahmedabad,Gujarat,Honda,Activa 6G,DLX,2022,28475,110.0,55.0,Automatic,Petrol,2nd Owner,Individual,No Warranty,Third-Party,2026-02-05,47000
PW_IND_18853,Bikes24,Delhi-NCR,Delhi,Honda,Activa 6G,DLX,2019,38387,110.0,55.0,Automatic,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,2026-07-15,43500
PW_IND_12129,OLX,Lucknow,Uttar Pradesh,Royal Enfield,Hunter 350,Metro Rebel,2013,131139,349.0,36.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-05-10,"21,700"
PW_IND_18706,Bikes24,Lucknow,Uttar Pradesh,Royal Enfield,Meteor 350,Supernova,2020,40717,349.0,36.0,Manual,Petrol,3rd Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,2026-02-23,103200
PW_IND_16583,BikeWale,Pune,Maharashtra,KTM,RC 390,Factory Racing,2021,41120,373.0,27.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Comprehensive,2026-03-17,"192,200"
PW_IND_19652,CarTrade,Bengaluru,Karnataka,Royal Enfield,Bullet 350,Standard ES,2021,61430,346.0,38.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,2026-01-17,"79,300"
PW_IND_11906,OLX,Pune,Maharashtra,Hero,Splendor Plus,Self Start i3S,2012,105431,97.0,65.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-02-15,"15,000"
PW_IND_19486,CarTrade,Chennai,Tamil Nadu,KTM,Duke 390,Gen-3 Dark Galvano,2024,23735,373.0,28.0,Manual,Petrol,3rd Owner,Individual,No Warranty,Expired,2026-03-28,141900
PW_IND_16563,BikeWale,Bengaluru,Karnataka,Honda,Hornet 2.0,ABS,2020,49924,184.0,42.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-03-16,"₹73,700"
PW_IND_17566,Droom,Ahmedabad,Gujarat,TVS,NTORQ 125,Race XP,2024,23418,125.0,47.0,Automatic,Petrol,1st Owner,Certified Dealer,6 Months Warranty,Expired,2026-08-08,"₹ 96,900"
PW_IND_19531,CarTrade,Hyderabad,Telangana,Yamaha,R15 V4,M Edition,2018,93994,155.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-01-28,"₹ 47,200"
PW_IND_14469,BikeDekho,Delhi-NCR,Delhi,Honda,CB Shine,SP,2019,55217,125.0,58.0,Manual,Petrol,1st Owner,Certified Dealer,No Warranty,Third-Party,2026-05-10,"₹ 42,200"
PW_IND_16074,BikeWale,Bengaluru,Karnataka,Royal Enfield,Meteor 350,Supernova,2018,63817,349.0,36.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Expired,2026-07-24,"₹ 70,700.00"
PW_IND_16751,BikeWale,Bengaluru,Karnataka,Suzuki,Gixxer SF 150,Standard ABS,2021,53204,155.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-05-05,"₹ 78,700.00"
PW_IND_19539,CarTrade,Lucknow,Uttar Pradesh,Honda,Unicorn,Standard,2018,75166,160.0,50.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Third-Party,2026-02-07,"₹24,400"
PW_IND_10357,OLX,Chennai,Tamil Nadu,TVS,Jupiter,ZX SmartXonnect,2020,70056,110.0,56.0,Automatic,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-02-04,"29,100"
PW_IND_16913,BikeWale,Delhi-NCR,Delhi,Royal Enfield,Himalayan,Pine Green,2023,18226,411.0,32.0,Manual,Petrol,1st Owner,Dealer,6 Months Warranty,Third-Party,2026-01-26,"158,900"
PW_IND_15500,BikeDekho,Hyderabad,Telangana,KTM,Duke 390,Gen-3 Dark Galvano,2020,56552,373.0,28.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Third-Party,2026-01-16,"₹151,500"
PW_IND_18850,Bikes24,Lucknow,Uttar Pradesh,Yamaha,Aerox 155,Version S,2018,62385,155.0,42.0,Automatic,Petrol,3rd Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,2026-08-16,"₹61,500"
PW_IND_13486,Quikr,Jaipur,Rajasthan,Bajaj,Pulsar 150,Twin Disc,2015,109612,149.0,48.0,Manual,Petrol,1st Owner,Individual,No Warranty,Expired,2026-07-15,"₹ 17,000"
PW_IND_19166,CarTrade,Ahmedabad,Gujarat,Royal Enfield,Himalayan,Pine Green,2022,47766,411.0,32.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Expired,2026-04-28,"116,800"
PW_IND_16874,BikeWale,Pune,Maharashtra,KTM,Duke 390,Gen-3 Dark Galvano,2018,49888,373.0,28.0,Manual,Petrol,2nd Owner,Individual,6 Months Warranty,Expired,2026-07-26,"₹ 88,200"
PW_IND_19701,CarTrade,Bengaluru,Karnataka,TVS,NTORQ 125,Race XP,2022,34637,125.0,47.0,Automatic,Petrol,3rd Owner,Individual,No Warranty,Comprehensive,2026-02-26,"₹ 43,200"
PW_IND_11557,OLX,Hyderabad,Telangana,Honda,Unicorn,Standard,2021,60040,,50.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Expired,2026-08-27,"₹ 53,100"
PW_IND_10967,OLX,Ahmedabad,Gujarat,Hero,Glamour,Disc,2021,46659,125.0,55.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Third-Party,2026-01-01,36700
PW_IND_17789,Droom,Chennai,Tamil Nadu,Honda,Unicorn,Standard,2014,96044,160.0,50.0,Manual,Petrol,4th Owner,Dealer,1 Year Certified Warranty,,2026-05-28,"₹16,900"
PW_IND_10102,OLX,Kolkata,West Bengal,Hero,Xpulse 200,4V Rally,2017,122458,200.0,40.0,Manual,Petrol,3rd Owner,Individual,No Warranty,Comprehensive,2026-06-10,"₹21,300"
