listing_id,platform,city,state,brand,model,variant,manufacturing_year,vehicle_age,kilometers_driven,engine_capacity_cc,mileage_kmpl,transmission,fuel_type,number_of_owners,seller_type,warranty_status,insurance_validity,listed_price,price_per_cc,price_per_km,expected_market_price,price_difference,price_ratio,price_category
PW_IND_12484,OLX,Lucknow,Uttar Pradesh,Hero,Splendor Plus,Self Start i3S,2022,4,29928,97.0,65.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,45200.0,465.98,1.51,43400.0,1800.0,1.041,Fairly Priced
PW_IND_12476,OLX,Ahmedabad,Gujarat,Royal Enfield,Bullet 350,Standard ES,2020,6,30299,346.0,38.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Comprehensive,84800.0,245.09,2.799,78700.0,6100.0,1.078,Fairly Priced
PW_IND_11015,OLX,Pune,Maharashtra,Honda,Unicorn,Standard,2018,8,70870,160.0,50.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Expired,26400.0,165.0,0.373,36000.0,-9600.0,0.733,Underpriced
PW_DUP_20062,OLX,Lucknow,Uttar Pradesh,Suzuki,Access 125,Ride Connect,2015,11,114527,124.0,52.0,Automatic,Petrol,1st Owner,Dealer,1 Year Certified Warranty,Comprehensive,18800.0,151.61,0.164,22400.0,-3600.0,0.839,Underpriced
PW_IND_16854,BikeWale,Bengaluru,Karnataka,Royal Enfield,Classic 350,Dual Channel ABS,2020,6,33115,349.0,35.0,Manual,Petrol,1st Owner,Certified Dealer,No Warranty,Third-Party,165600.0,474.5,5.001,133000.0,32600.0,1.245,Overpriced
PW_IND_16435,BikeWale,Chennai,Tamil Nadu,TVS,Sport,ES,2020,6,56012,110.0,70.0,Manual,Petrol,2nd Owner,Individual,6 Months Warranty,Third-Party,21500.0,195.45,0.384,28500.0,-7000.0,0.754,Underpriced
PW_IND_17279,Droom,Lucknow,Uttar Pradesh,Hero,Xpulse 200,4V Rally,2022,4,28437,200.0,40.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Third-Party,115400.0,577.0,4.058,98200.0,17200.0,1.175,Overpriced
PW_IND_12958,OLX,Ahmedabad,Gujarat,Royal Enfield,Classic 350,Dual Channel ABS,2023,3,34931,349.0,35.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,205200.0,587.97,5.874,151500.0,53700.0,1.354,Overpriced
PW_IND_14078,BikeDekho,Bengaluru,Karnataka,TVS,Raider 125,Split Seat,2019,7,62028,125.0,57.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Comprehensive,40400.0,323.2,0.651,43400.0,-3000.0,0.931,Fairly Priced
PW_IND_14258,BikeDekho,Jaipur,Rajasthan,Yamaha,FZ-S FI,V4 Deluxe,2014,12,123301,149.0,45.0,Manual,Petrol,1st Owner,Dealer,6 Months Warranty,Third-Party,20400.0,136.91,0.165,24600.0,-4200.0,0.829,Underpriced
PW_IND_14105,BikeDekho,Ahmedabad,Gujarat,Yamaha,FZ-S FI,V4 Deluxe,2017,9,83907,149.0,45.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Comprehensive,26300.0,176.51,0.313,33200.0,-6900.0,0.792,Underpriced
PW_IND_11838,OLX,Hyderabad,Telangana,TVS,Sport,ES,2022,4,39845,110.0,70.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,43000.0,390.91,1.079,39600.0,3400.0,1.086,Fairly Priced
PW_IND_12315,OLX,Hyderabad,Telangana,KTM,RC 390,Factory Racing,2020,6,43756,373.0,27.0,Manual,Petrol,1st Owner,Individual,No Warranty,Expired,163300.0,437.8,3.732,162300.0,1000.0,1.006,Fairly Priced
PW_IND_10047,OLX,Ahmedabad,Gujarat,Yamaha,MT-15,V2 MotoGP,2016,10,75104,155.0,44.0,Manual,Petrol,3rd Owner,Individual,No Warranty,Comprehensive,31100.0,200.65,0.414,38200.0,-7100.0,0.814,Underpriced
PW_DUP_20216,OLX,Chennai,Tamil Nadu,Honda,Activa 6G,DLX,2018,8,85609,110.0,55.0,Automatic,Petrol,1st Owner,Dealer,No Warranty,Comprehensive,25200.0,229.09,0.294,27400.0,-2200.0,0.92,Fairly Priced
PW_IND_17259,Droom,Bengaluru,Karnataka,Suzuki,Gixxer 250,Dual ABS,2015,11,113698,249.0,35.0,Manual,Petrol,1st Owner,Dealer,1 Year Certified Warranty,Comprehensive,44600.0,179.12,0.392,50700.0,-6100.0,0.88,Underpriced
PW_IND_12190,OLX,Kolkata,West Bengal,KTM,Duke 390,Gen-3 Dark Galvano,2022,4,29678,373.0,28.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Third-Party,171600.0,460.05,5.782,165200.0,6400.0,1.039,Fairly Priced
PW_IND_10784,OLX,Ahmedabad,Gujarat,Royal Enfield,Hunter 350,Metro Rebel,2020,6,41017,349.0,36.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,81900.0,234.67,1.997,84600.0,-2700.0,0.968,Fairly Priced
PW_IND_16703,BikeWale,Hyderabad,Telangana,Royal Enfield,Hunter 350,Metro Rebel,2015,11,60555,349.0,36.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Third-Party,34100.0,97.71,0.563,42000.0,-7900.0,0.812,Underpriced
PW_IND_19457,CarTrade,Lucknow,Uttar Pradesh,Yamaha,Aerox 155,Version S,2020,6,57827,155.0,42.0,Automatic,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,56100.0,361.94,0.97,57300.0,-1200.0,0.979,Fairly Priced
PW_IND_15800,BikeDekho,Bengaluru,Karnataka,Yamaha,MT-15,V2 MotoGP,2019,7,56241,155.0,44.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Third-Party,67900.0,438.06,1.207,69900.0,-2000.0,0.971,Fairly Priced
PW_IND_14002,BikeDekho,Pune,Maharashtra,KTM,RC 390,Factory Racing,2018,8,99835,373.0,27.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,67900.0,182.04,0.68,95000.0,-27100.0,0.715,Underpriced
PW_IND_18168,Droom,Kolkata,West Bengal,Bajaj,Avenger Cruise 220,Standard,2016,10,100726,220.0,38.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,50200.0,228.18,0.498,41900.0,8300.0,1.198,Overpriced
PW_IND_12084,OLX,Kolkata,West Bengal,Hero,Xpulse 200,4V Rally,2019,7,74007,200.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,41900.0,209.5,0.566,55300.0,-13400.0,0.758,Underpriced
PW_IND_15168,BikeDekho,Jaipur,Rajasthan,Yamaha,Aerox 155,Version S,2015,11,85324,155.0,42.0,Automatic,Petrol,1st Owner,Individual,6 Months Warranty,Comprehensive,27700.0,178.71,0.325,37700.0,-10000.0,0.735,Underpriced
PW_IND_19913,CarTrade,Chennai,Tamil Nadu,TVS,Sport,ES,2022,4,45798,110.0,70.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,31200.0,283.64,0.681,38500.0,-7300.0,0.81,Underpriced
PW_IND_13838,Quikr,Delhi-NCR,Delhi,Hero,Xpulse 200,4V Rally,2021,5,34797,200.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,71900.0,359.5,2.066,74500.0,-2600.0,0.965,Fairly Priced
PW_IND_17142,Droom,Chennai,Tamil Nadu,Bajaj,Dominar 400,Touring Edition,2022,4,27901,373.0,30.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Third-Party,206600.0,553.89,7.404,162600.0,44000.0,1.271,Overpriced
PW_IND_15716,BikeDekho,Chennai,Tamil Nadu,Honda,Unicorn,Standard,2022,4,31751,160.0,50.0,Manual,Petrol,4th Owner,Certified Dealer,No Warranty,Comprehensive,57100.0,356.88,1.798,51500.0,5600.0,1.109,Overpriced
PW_IND_15735,BikeDekho,Hyderabad,Telangana,Yamaha,R15 V4,M Edition,2018,8,89638,155.0,40.0,Manual,Petrol,1st Owner,Individual,6 Months Warranty,Expired,60100.0,387.74,0.67,69100.0,-9000.0,0.87,Underpriced
PW_IND_19501,CarTrade,Kolkata,West Bengal,Suzuki,Gixxer SF 150,Standard ABS,2020,6,35871,155.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,70300.0,453.55,1.96,67000.0,3300.0,1.049,Fairly Priced
PW_IND_14284,BikeDekho,Hyderabad,Telangana,Honda,Hornet 2.0,ABS,2018,8,91444,184.0,42.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Comprehensive,40100.0,217.93,0.439,46800.0,-6700.0,0.857,Underpriced
PW_IND_12521,OLX,Bengaluru,Karnataka,Royal Enfield,Classic 350,Dual Channel ABS,2017,9,74122,349.0,35.0,Manual,Petrol,3rd Owner,Individual,No Warranty,Comprehensive,49900.0,142.98,0.673,61200.0,-11300.0,0.815,Underpriced
PW_IND_15377,BikeDekho,Ahmedabad,Gujarat,Honda,Activa 6G,DLX,2022,4,28475,110.0,55.0,Automatic,Petrol,2nd Owner,Individual,No Warranty,Third-Party,47000.0,427.27,1.651,44000.0,3000.0,1.068,Fairly Priced
PW_IND_18853,Bikes24,Delhi-NCR,Delhi,Honda,Activa 6G,DLX,2019,7,38387,110.0,55.0,Automatic,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,43500.0,395.45,1.133,38800.0,4700.0,1.121,Overpriced
PW_IND_12129,OLX,Lucknow,Uttar Pradesh,Royal Enfield,Hunter 350,Metro Rebel,2013,13,131139,349.0,36.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,21700.0,62.18,0.165,27900.0,-6200.0,0.778,Underpriced
PW_IND_18706,Bikes24,Lucknow,Uttar Pradesh,Royal Enfield,Meteor 350,Supernova,2020,6,40717,349.0,36.0,Manual,Petrol,3rd Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,103200.0,295.7,2.535,88400.0,14800.0,1.167,Overpriced
PW_IND_16583,BikeWale,Pune,Maharashtra,KTM,RC 390,Factory Racing,2021,5,41120,373.0,27.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Comprehensive,192200.0,515.28,4.674,181900.0,10300.0,1.057,Fairly Priced
PW_IND_19652,CarTrade,Bengaluru,Karnataka,Royal Enfield,Bullet 350,Standard ES,2021,5,61430,346.0,38.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,79300.0,229.19,1.291,87700.0,-8400.0,0.904,Fairly Priced
PW_IND_19486,CarTrade,Chennai,Tamil Nadu,KTM,Duke 390,Gen-3 Dark Galvano,2024,2,23735,373.0,28.0,Manual,Petrol,3rd Owner,Individual,No Warranty,Expired,141900.0,380.43,5.978,195500.0,-53600.0,0.726,Underpriced
PW_IND_16563,BikeWale,Bengaluru,Karnataka,Honda,Hornet 2.0,ABS,2020,6,49924,184.0,42.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,73700.0,400.54,1.476,72700.0,1000.0,1.014,Fairly Priced
PW_IND_17566,Droom,Ahmedabad,Gujarat,TVS,NTORQ 125,Race XP,2024,2,23418,125.0,47.0,Automatic,Petrol,1st Owner,Certified Dealer,6 Months Warranty,Expired,96900.0,775.2,4.138,86200.0,10700.0,1.124,Overpriced
PW_IND_19531,CarTrade,Hyderabad,Telangana,Yamaha,R15 V4,M Edition,2018,8,93994,155.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,47200.0,304.52,0.502,66000.0,-18800.0,0.715,Underpriced
PW_IND_14469,BikeDekho,Delhi-NCR,Delhi,Honda,CB Shine,SP,2019,7,55217,125.0,58.0,Manual,Petrol,1st Owner,Certified Dealer,No Warranty,Third-Party,42200.0,337.6,0.764,34600.0,7600.0,1.22,Overpriced
PW_IND_16074,BikeWale,Bengaluru,Karnataka,Royal Enfield,Meteor 350,Supernova,2018,8,63817,349.0,36.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Expired,70700.0,202.58,1.108,88700.0,-18000.0,0.797,Underpriced
PW_IND_16751,BikeWale,Bengaluru,Karnataka,Suzuki,Gixxer SF 150,Standard ABS,2021,5,53204,155.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,78700.0,507.74,1.479,82200.0,-3500.0,0.957,Fairly Priced
PW_IND_19539,CarTrade,Lucknow,Uttar Pradesh,Honda,Unicorn,Standard,2018,8,75166,160.0,50.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Third-Party,24400.0,152.5,0.325,37100.0,-12700.0,0.658,Underpriced
PW_IND_10357,OLX,Chennai,Tamil Nadu,TVS,Jupiter,ZX SmartXonnect,2020,6,70056,110.0,56.0,Automatic,Petrol,1st Owner,Individual,No Warranty,Third-Party,29100.0,264.55,0.415,36600.0,-7500.0,0.795,Underpriced
PW_IND_16913,BikeWale,Delhi-NCR,Delhi,Royal Enfield,Himalayan,Pine Green,2023,3,18226,411.0,32.0,Manual,Petrol,1st Owner,Dealer,6 Months Warranty,Third-Party,158900.0,386.62,8.718,151600.0,7300.0,1.048,Fairly Priced
PW_IND_15500,BikeDekho,Hyderabad,Telangana,KTM,Duke 390,Gen-3 Dark Galvano,2020,6,56552,373.0,28.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Third-Party,151500.0,406.17,2.679,149700.0,1800.0,1.012,Fairly Priced
PW_IND_18850,Bikes24,Lucknow,Uttar Pradesh,Yamaha,Aerox 155,Version S,2018,8,62385,155.0,42.0,Automatic,Petrol,3rd Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,61500.0,396.77,0.986,47800.0,13700.0,1.287,Overpriced
PW_IND_19166,CarTrade,Ahmedabad,Gujarat,Royal Enfield,Himalayan,Pine Green,2022,4,47766,411.0,32.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Expired,116800.0,284.18,2.445,118700.0,-1900.0,0.984,Fairly Priced
PW_IND_16874,BikeWale,Pune,Maharashtra,KTM,Duke 390,Gen-3 Dark Galvano,2018,8,49888,373.0,28.0,Manual,Petrol,2nd Owner,Individual,6 Months Warranty,Expired,88200.0,236.46,1.768,111100.0,-22900.0,0.794,Underpriced
PW_IND_19701,CarTrade,Bengaluru,Karnataka,TVS,NTORQ 125,Race XP,2022,4,34637,125.0,47.0,Automatic,Petrol,3rd Owner,Individual,No Warranty,Comprehensive,43200.0,345.6,1.247,52800.0,-9600.0,0.818,Underpriced
PW_IND_11557,OLX,Hyderabad,Telangana,Honda,Unicorn,Standard,2021,5,60040,160.0,50.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Expired,53100.0,331.88,0.884,51200.0,1900.0,1.037,Fairly Priced
PW_IND_10967,OLX,Ahmedabad,Gujarat,Hero,Glamour,Disc,2021,5,46659,125.0,55.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Third-Party,36700.0,293.6,0.787,40200.0,-3500.0,0.913,Fairly Priced
PW_IND_10102,OLX,Kolkata,West Bengal,Hero,Xpulse 200,4V Rally,2017,9,122458,200.0,40.0,Manual,Petrol,3rd Owner,Individual,No Warranty,Comprehensive,21300.0,106.5,0.174,29000.0,-7700.0,0.734,Underpriced
